 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
58,106.167,105.188,105.682,106.868,107.330,118.943,107.067,108.349,109.885,108.635,109.138,108.082,107.741,106.791,106.524,107.494,115.744,110.282,119.379,114.914
59,106.034,105.197,105.472,106.635,107.034,117.002,106.819,108.946,109.746,108.466,112.322,108.032,107.626,106.643,106.391,107.273,114.217,109.695,117.421,114.106
60,106.095,106.857,105.337,106.467,106.788,115.722,106.667,112.169,111.010,108.475,112.175,108.038,107.576,106.773,106.460,107.339,113.258,109.600,115.954,114.782
61,106.080,107.098,105.311,106.397,106.595,117.141,106.471,112.408,114.433,108.446,111.364,108.085,107.597,106.789,106.498,107.345,112.701,113.700,115.029,121.428
62,106.100,106.830,106.030,106.299,106.370,126.494,106.446,111.997,114.401,110.074,110.731,109.586,107.682,106.748,106.514,107.417,112.096,114.433,114.323,120.538
63,106.133,106.637,108.435,106.314,106.196,125.374,106.382,111.519,114.014,112.516,110.147,112.845,107.549,106.781,106.514,107.470,117.218,113.035,113.632,118.810
64,106.120,106.278,108.359,106.178,105.947,121.537,107.479,110.963,113.261,111.991,109.624,112.569,107.508,106.605,106.435,107.322,120.216,111.865,118.736,117.281
65,106.147,106.018,107.803,106.125,105.887,119.095,112.574,110.584,112.760,111.571,109.310,112.167,107.493,106.657,106.435,107.354,117.800,110.972,121.257,115.983
66,106.128,105.840,107.320,106.122,105.782,117.188,112.568,110.278,112.364,111.054,109.009,111.596,107.554,106.713,106.423,107.406,115.905,110.434,119.234,114.948
67,106.135,105.727,106.900,106.157,105.631,115.956,111.266,110.020,111.995,110.678,108.915,111.196,107.515,106.773,106.479,107.443,114.699,110.002,117.533,114.505
68,106.103,105.549,106.504,106.111,105.527,115.907,110.292,109.690,111.636,110.244,108.657,110.678,107.459,106.678,106.502,107.431,113.613,109.579,116.075,113.906
69,106.140,105.425,106.247,106.063,105.435,125.330,109.331,109.500,111.341,109.909,108.582,110.271,107.516,106.675,106.526,107.555,112.919,110.752,115.036,118.723
70,106.109,105.362,105.914,106.131,105.387,125.997,108.879,109.349,111.098,109.730,108.464,109.965,107.525,106.775,106.498,110.234,112.245,114.453,114.448,121.495
71,106.097,105.279,105.742,110.128,105.382,122.213,108.310,109.173,110.988,109.610,108.460,109.646,107.513,106.749,106.504,110.974,114.443,113.949,113.681,119.695
72,106.077,105.180,105.492,113.951,105.292,119.456,107.771,109.021,110.803,109.318,108.344,109.386,107.497,106.698,106.481,110.676,120.298,112.660,119.000,117.902
73,106.773,105.199,105.466,112.959,105.281,117.583,107.476,108.951,110.631,109.245,108.358,109.200,107.487,106.724,106.550,110.284,118.485,111.741,121.390,116.680
74,111.352,105.118,105.294,111.693,105.227,116.043,107.184,108.833,110.519,109.000,108.233,109.013,107.512,106.758,106.465,109.950,116.555,110.919,119.608,115.657
75,111.804,105.110,105.252,110.567,105.197,115.340,107.009,108.763,110.402,108.942,108.203,108.825,107.542,106.685,106.537,109.603,115.103,110.462,117.711,114.912
76,111.080,105.438,105.187,109.674,105.183,123.360,106.806,108.701,110.368,108.908,108.199,108.793,107.508,106.764,106.525,109.337,114.016,110.001,116.195,114.154
77,110.301,107.090,105.049,108.925,105.159,126.682,106.767,108.593,110.282,108.840,108.122,108.569,107.514,106.647,106.462,108.969,113.096,109.617,115.120,114.753
78,109.638,107.024,105.025,108.352,105.158,122.694,106.528,108.579,110.224,108.802,108.255,108.476,107.531,106.727,106.522,108.879,112.445,112.864,114.237,121.524
79,108.962,106.807,105.184,107.849,105.134,120.002,106.545,108.569,110.163,108.768,111.211,108.435,107.495,106.764,106.510,108.613,112.840,114.393,113.727,120.468
80,108.402,106.483,107.538,107.553,105.154,117.919,106.488,108.544,110.163,108.683,112.690,108.348,107.571,106.723,106.510,108.455,119.681,113.101,118.815,118.845
81,108.079,106.335,108.296,107.324,105.102,116.390,106.346,108.533,110.052,108.689,112.036,108.343,107.475,106.802,106.505,108.329,119.452,112.049,121.142,117.317
82,107.711,106.009,107.912,106.903,105.153,114.978,106.304,108.456,110.003,108.604,111.193,108.269,107.520,106.665,106.471,108.099,117.049,111.173,119.423,116.095
83,107.337,105.768,107.443,106.767,105.102,120.977,106.470,108.444,109.994,108.549,110.509,108.236,107.518,106.749,106.479,107.979,115.503,110.452,117.638,114.995
84,107.181,105.662,106.988,106.625,105.111,127.164,111.340,108.445,110.054,109.881,110.007,108.274,107.506,106.701,106.517,107.924,114.250,110.159,116.294,114.561
85,106.922,105.512,106.568,106.437,105.067,123.762,112.869,108.487,110.052,112.508,109.669,108.190,107.556,106.763,106.517,107.968,113.288,109.843,115.160,114.205
86,106.677,105.300,106.145,106.286,105.003,120.525,111.711,108.352,109.940,112.118,109.163,108.143,107.415,106.783,106.449,107.715,112.538,110.255,114.404,120.733
87,106.621,105.271,105.902,106.295,105.038,118.293,110.512,108.360,109.932,111.586,108.992,108.161,107.486,106.674,106.488,107.723,112.227,114.491,113.678,120.872
88,106.552,105.253,105.770,106.268,105.065,116.466,109.642,108.375,109.878,111.146,108.839,108.130,107.547,106.753,106.467,107.671,118.265,113.998,119.622,119.037
89,106.451,105.238,105.591,106.281,105.128,115.370,108.992,108.448,110.004,110.800,108.765,108.135,107.571,106.754,106.525,107.660,120.160,112.718,121.317,117.611
90,106.361,105.154,105.458,106.170,105.093,119.258,108.407,108.407,109.951,110.412,108.523,108.118,107.570,106.818,106.558,107.662,117.619,111.680,119.457,116.306
91,106.328,105.131,105.366,107.991,105.057,127.300,108.032,109.018,109.843,109.985,108.437,108.129,107.461,106.760,106.499,107.586,115.907,110.907,117.608,115.204
92,106.342,105.129,105.272,113.938,105.102,124.443,107.602,112.254,109.881,109.727,108.407,108.145,107.551,106.775,106.532,107.570,114.606,110.346,116.298,114.760
93,106.278,105.103,105.148,113.759,105.113,121.096,107.320,112.432,109.969,109.536,108.337,108.099,107.538,106.748,106.495,107.579,113.548,110.018,115.028,114.131
94,106.242,105.793,105.701,112.365,105.074,118.675,107.083,112.087,109.987,109.407,108.344,108.130,107.545,107.059,106.571,107.579,112.856,109.665,114.309,118.233
95,106.205,107.193,108.266,111.161,105.080,116.944,106.884,111.591,109.992,109.293,108.298,108.086,107.561,109.559,106.551,107.547,112.187,112.920,113.847,121.670
96,106.240,106.987,108.391,110.193,105.115,115.554,106.688,111.103,109.970,109.205,108.241,108.091,107.502,109.815,106.485,107.553,115.348,114.547,118.936,119.973
97,106.178,106.775,107.871,109.360,105.131,117.254,106.545,110.682,111.997,109.011,108.210,108.021,107.603,109.661,106.532,107.448,120.567,113.279,121.375,117.990
98,106.167,106.523,107.347,108.657,105.066,126.606,106.588,110.320,114.676,108.895,108.145,108.066,107.528,109.210,106.481,107.491,118.539,112.092,119.596,116.662
